Borough,Area,Unemployment rate  - 16+ white UK born,null...4,null...5,null...6,Unemployment rate  - 16+ white not UK born,null...8,null...9,null...10,Unemployment rate  - 16+ ethnic minority UK born,null...12,null...13,null...14,Unemployment rate  - 16+ ethnic minority not UK born,null...16,null...17,null...18,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,null,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,number,denominator,percent,confidence,,,,,,,,,,,
,Croydon,#,95000,2,*,3700,33300,11.2,*,3500,23500,14.9,*,3700,55800,6.6,*,,,,,,,,,,,
,Croydon,4300,89800,4.8,*,!,38700,!,!,5200,34300,15.1,*,!,44000,!,!,,,,,,,,,,,
,Croydon,4600,90800,5.1,*,!,27000,!,!,!,44300,!,!,!,51500,!,!,,,,,,,,,,,
,Ealing,5400,58100,9.2,7.5,1000,27500,3.6,*,6500,26000,25.1,17.2,7600,63300,12,8.4,,,,,,,,,,,
,Ealing,3800,60500,6.4,*,2600,41100,6.3,*,2700,22800,12,*,4200,50800,8.3,8.2,,,,,,,,,,,
,Ealing,1700,50400,3.3,*,1200,47200,2.5,*,2000,29100,6.9,*,5400,54000,10,7.6,,,,,,,,,,,
,Ealing,1000,49400,2,*,2900,46200,6.2,*,2300,28800,8,*,4900,58300,8.4,*,,,,,,,,,,,
,Ealing,1800,64400,2.9,*,3200,34800,9.2,*,#,32800,6,*,5400,51600,10.5,*,,,,,,,,,,,
,Ealing,!,52300,!,!,!,42100,!,!,!,23400,!,!,4100,54600,7.6,*,,,,,,,,,,,
,Ealing,!,59200,!,!,!,32000,!,!,7700,43700,17.7,*,!,53100,!,!,,,,,,,,,,,
,Ealing,3300,77300,4.2,*,!,36200,!,!,!,25300,!,!,7100,45300,15.8,*,,,,,,,,,,,
,Ealing,2400,84300,2.8,*,!,33000,!,!,!,22500,!,!,!,45000,!,!,,,,,,,,,,,
,East,146500,2600500,5.6,0.8,13500,240000,5.6,2.5,11900,79500,14.9,6.2,16400,155900,10.5,3.8,,,,,,,,,,,
,East,124500,2570400,4.8,0.7,14100,257500,5.5,2.4,8400,85700,9.8,5.1,13400,164900,8.1,3.2,,,,,,,,,,,
,East,96700,2574400,3.8,0.7,12400,284400,4.4,2,5200,85800,6.1,4,8800,184200,4.8,2.5,,,,,,,,,,,
,East,96500,2535000,3.8,0.7,7500,307000,2.4,1.5,10000,90900,11,5.2,6300,188400,3.3,2.1,,,,,,,,,,,
,East,96500,2535000,3.8,0.7,7500,307000,2.4,1.5,10000,90900,11,5.2,6300,188400,3.3,2.1,,,,,,,,,,,
,East,89000,2546100,3.5,0.7,8500,296700,2.8,1.7,6000,103100,5.8,3.7,11000,200800,5.5,2.6,,,,,,,,,,,
